pathway,I2,Q_test,model_p,Coefficient,C.lower,C.upper
PWY-6562,15.4563856107479,0.274918183853774,0.382084100949603,0.0818843237631275,-0.101729875446133,0.265498522972388
PWY-6572,0,0.762562831863046,0.282623852158373,0.0857185846296456,-0.0706463641262406,0.242083533385532
PWY-6581,49.9233706189902,0.136324479233035,0.505987733189641,0.141110629718171,-0.274725381936082,0.556946641372423
PWY-6588,52.7929042615358,0.0764134651356752,0.024158060956281,-0.304620609631096,-0.569432015058654,-0.0398092042035387
PWY-6590,3.50124393541376,0.399987273593236,0.321762818474106,-0.0822607594223753,-0.244979086751079,0.080457567906328
PWY-6608,0,0.609081249450064,0.776924051778606,0.0226018629522397,-0.133748936196164,0.178952662100643
PWY-6609,0,0.69069335197849,0.403090875151616,-0.0667030497520961,-0.223064028682503,0.0896579291783106
PWY-6612,44.5796453666854,0.115235766809809,0.0182948508056629,-0.292199911461312,-0.534911512670907,-0.0494883102517172
PWY-6628,82.8055515732201,0.000179827440243207,0.183273370191298,-0.298620012083327,-0.738437599959265,0.141197575792612
PWY-6629,0,0.994205297762035,0.96834527985495,-0.0031624477704439,-0.159354546359141,0.153029650818253
PWY-6630,83.3651432986616,0.000145245229209072,0.199562341485071,-0.292595168161937,-0.739645550640499,0.154455214316625
PWY-6641,9.2710471710184e-05,0.416874444635609,0.40991635319651,0.0657832788073613,-0.0906808805414287,0.222247438156151
PWY-6654,30.4074107919417,0.190909811096626,0.607247340081365,0.0552771332130955,-0.155500664878715,0.266054931304907
PWY-6690,0,0.93636331590853,0.161306572091569,0.111736134733087,-0.0446144379790206,0.268086707445194
PWY-6700,0.00593351180536546,0.280223161808905,0.797327037499989,0.0205067749151798,-0.136001391043339,0.177014940873698
PWY-6703,38.6519589519741,0.201712233436715,0.0579719671129004,0.220719740881669,-0.0074571127376431,0.44889659450098
PWY-6708,0,0.633448613811128,0.80171303010842,0.0200320346890859,-0.136309106625554,0.176373176003726
PWY-6713,54.857796950337,0.113308133290842,0.652873167222647,-0.100762621290362,-0.539851947682849,0.338326705102125
PWY-6728,69.732975265262,0.0247740733134489,0.889298921576005,0.0234746524056412,-0.307073646923747,0.354022951735029
PWY-6731,25.699591228116,0.168425040646508,0.710422233564618,0.0382609960546817,-0.163711480776664,0.240233472886028
PWY-6737,6.64512671454051,0.422127873673562,0.215287242144012,0.106396114985071,-0.0618896625771719,0.274681892547314
PWY-6749,46.2492695640093,0.111256513000117,0.187643675901615,0.16517418397111,-0.0805300658015181,0.410878433743739
PWY-6876,23.709120761136,0.294910507627898,0.244154184729557,0.117680572497927,-0.0803587521992375,0.315719897195092
PWY-6891,73.7780983961858,0.00803784291528038,0.12097686002929,-0.281957613134618,-0.638333198801552,0.0744179725323158
PWY-6892,0,0.544288764166323,0.625805536384949,-0.0389084056823316,-0.195292672073975,0.117475860709312
